('3844192691', 'cloris喵酱', 'f', '48', '18'), 
('1880208544', 'Ray_白白', 'f', '412', '215'), 
('3073793971', 'TiffanyLXX', 'f', '213', '190'), 
('2737548921', '韩梅_Mayy', 'f', '309', '2432'), 
('2180843914', '81的家家', 'm', '281', '73'), 
('3959244798', '嘉反馈', 'f', '69', '22'), 
('3564111074', '笑杏紫', 'f', '106', '1072'), 
('1017091732', '大眼睛1017091732', 'f', '96', '10'), 
('5083750492', '一入淘宝深似海555', 'f', '186', '10'), 
('2475589567', 'cherry_寜', 'f', '80', '114'), 
('2495896260', 'susu吴', 'f', '293', '172'), 
('1432468963', 'Y麦香可可Y', 'f', '119', '57'), 
('2336910437', '喜喜嘻嘻嘻嘻嘻', 'f', '345', '306'), 
('3661227610', 'STARAREBLIND', 'f', '247', '30'), 
('2660744232', '仲夏夜西瓜', 'f', '147', '28'), 
('2092166341', '3W_萌哥', 'm', '858', '542'), 
('1956248571', '承_諾_冭_羙', 'f', '344', '475'), 
('2549515534', '浪人情怀1218', 'f', '449', '369'), 
('2076565553', 'Dalia-姑凉', 'f', '227', '338'), 
('1644144483', '姜小倩_Happy', 'f', '319', '284'), 
('2056581297', '蟹蝎娜很好', 'f', '146', '73'), 
('1849732632', '秀尾兒', 'f', '128', '187'), 
('3927073973', '张小姐MissZ', 'f', '253', '86'), 
